generating LQTLD for map...
Exiting
         1316182 function calls (1305194 primitive calls) in 1014.270 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _PointCloud.py:12(PointCloud)
        1    0.000    0.000    0.000    0.000 _PointCloud.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _PointCloud2.py:11(PointCloud2)
        1    0.000    0.000    0.000    0.000 _PointCloud2.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _PointField.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _PointField.py:9(PointField)
        1    0.000    0.000    0.000    0.000 _PointStamped.py:11(PointStamped)
        1    0.000    0.000    0.000    0.000 _PointStamped.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Polygon.py:10(Polygon)
        1    0.000    0.000    0.000    0.000 _Polygon.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _PolygonStamped.py:11(PolygonStamped)
        1    0.000    0.000    0.000    0.000 _PolygonStamped.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Pose.py:10(Pose)
        1    0.000    0.000    0.000    0.000 _Pose.py:2(<module>)
        6    0.000    0.000    0.000    0.000 _Pose.py:37(__init__)
        1    0.000    0.000    0.000    0.000 _Pose2D.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Pose2D.py:9(Pose2D)
        1    0.000    0.000    0.000    0.000 _PoseArray.py:11(PoseArray)
        1    0.000    0.000    0.000    0.000 _PoseArray.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _PoseStamped.py:11(PoseStamped)
        1    0.000    0.000    0.000    0.000 _PoseStamped.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _PoseWithCovariance.py:10(PoseWithCovariance)
        1    0.000    0.000    0.000    0.000 _PoseWithCovariance.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _PoseWithCovarianceStamped.py:11(PoseWithCovarianceStamped)
        1    0.000    0.000    0.000    0.000 _PoseWithCovarianceStamped.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Quaternion.py:2(<module>)
        6    0.000    0.000    0.000    0.000 _Quaternion.py:23(__init__)
        1    0.000    0.000    0.000    0.000 _Quaternion.py:9(Quaternion)
        1    0.000    0.000    0.000    0.000 _QuaternionStamped.py:11(QuaternionStamped)
        1    0.000    0.000    0.000    0.000 _QuaternionStamped.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Range.py:10(Range)
        1    0.000    0.000    0.000    0.000 _Range.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _RegionOfInterest.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _RegionOfInterest.py:9(RegionOfInterest)
        1    0.000    0.000    0.000    0.000 _RelativeHumidity.py:10(RelativeHumidity)
        1    0.000    0.000    0.000    0.000 _RelativeHumidity.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _SetLoggerLevel.py:165(SetLoggerLevelResponse)
        1    0.000    0.000    0.000    0.000 _SetLoggerLevel.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _SetLoggerLevel.py:245(SetLoggerLevel)
        1    0.000    0.000    0.000    0.000 _SetLoggerLevel.py:9(SetLoggerLevelRequest)
        1    0.000    0.000    0.000    0.000 _SetMap.py:13(SetMapRequest)
        1    0.000    0.000    0.000    0.000 _SetMap.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _SetMap.py:368(SetMapResponse)
        1    0.000    0.000    0.000    0.000 _SetMap.py:470(SetMap)
        1    0.000    0.000    0.000    0.000 _String.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _String.py:9(String)
        1    0.000    0.000    0.000    0.000 _TF2Error.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _TF2Error.py:9(TF2Error)
        1    0.000    0.000    0.000    0.000 _TFMessage.py:11(TFMessage)
        1    0.000    0.000    0.000    0.000 _TFMessage.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Temperature.py:10(Temperature)
        1    0.000    0.000    0.000    0.000 _Temperature.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Time.py:10(Time)
        1    0.000    0.000    0.000    0.000 _Time.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _TimeReference.py:11(TimeReference)
        1    0.000    0.000    0.000    0.000 _TimeReference.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _TopicStatistics.py:10(TopicStatistics)
        1    0.000    0.000    0.000    0.000 _TopicStatistics.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Transform.py:10(Transform)
        1    0.000    0.000    0.000    0.000 _Transform.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _TransformStamped.py:11(TransformStamped)
        1    0.000    0.000    0.000    0.000 _TransformStamped.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Twist.py:10(Twist)
        1    0.000    0.000    0.000    0.000 _Twist.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _TwistStamped.py:11(TwistStamped)
        1    0.000    0.000    0.000    0.000 _TwistStamped.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _TwistWithCovariance.py:10(TwistWithCovariance)
        1    0.000    0.000    0.000    0.000 _TwistWithCovariance.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _TwistWithCovarianceStamped.py:11(TwistWithCovarianceStamped)
        1    0.000    0.000    0.000    0.000 _TwistWithCovarianceStamped.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _UInt16.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _UInt16.py:9(UInt16)
        1    0.000    0.000    0.000    0.000 _UInt16MultiArray.py:10(UInt16MultiArray)
        1    0.000    0.000    0.000    0.000 _UInt16MultiArray.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _UInt32.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _UInt32.py:9(UInt32)
        1    0.000    0.000    0.000    0.000 _UInt32MultiArray.py:10(UInt32MultiArray)
        1    0.000    0.000    0.000    0.000 _UInt32MultiArray.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _UInt64.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _UInt64.py:9(UInt64)
        1    0.000    0.000    0.000    0.000 _UInt64MultiArray.py:10(UInt64MultiArray)
        1    0.000    0.000    0.000    0.000 _UInt64MultiArray.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _UInt8.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _UInt8.py:9(UInt8)
        1    0.000    0.000    0.000    0.000 _UInt8MultiArray.py:10(UInt8MultiArray)
        1    0.000    0.000    0.000    0.000 _UInt8MultiArray.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Vector3.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Vector3.py:9(Vector3)
        1    0.000    0.000    0.000    0.000 _Vector3Stamped.py:11(Vector3Stamped)
        1    0.000    0.000    0.000    0.000 _Vector3Stamped.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Wrench.py:10(Wrench)
        1    0.000    0.000    0.000    0.000 _Wrench.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _WrenchStamped.py:11(WrenchStamped)
        1    0.000    0.000    0.000    0.000 _WrenchStamped.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
       32    0.027    0.001    0.208    0.007 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1010(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1015(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:102(InuseAttributeErr)
       16    0.000    0.000    0.001    0.000 __init__.py:1025(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:105(InvalidStateErr)
        1    0.002    0.002    0.101    0.101 __init__.py:106(<module>)
